Year,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2000,Jaren Jackson,SG,32,SAS,2,19,3.3,0.21,0.333,1.333,0,5.3,2.7,17.9,2.8,0,0,11.4,,0,0,0,0.001,,-3.4,0.1,-3.3,0
2000,Mark Jackson,PG,34,IND,23,634,17,0.493,0.381,0.176,2.3,13.5,8,45.6,1.6,0.2,18.5,17.4,,1.1,0.4,1.5,0.117,,1.4,0.7,2.1,0.7
2000,Avery Johnson,PG,34,SAS,4,144,11.8,0.498,0,0.333,1.4,4.9,3.2,31.9,1.5,0,17.2,18.3,,0,0.3,0.3,0.092,,1,-1.8,-0.8,0
2000,Ervin Johnson,C,32,MIL,5,155,14.2,0.555,0,0.9,10.8,24.3,17.9,1.8,2.1,2.8,9.7,9.2,,0.3,0.2,0.5,0.156,,-1.1,3.9,2.8,0.2
2000,Kevin Johnson,PG,33,PHO,9,129,4.9,0.366,0.081,0.162,0,10.7,5.3,29.5,1.2,0.6,24.7,18.2,,-0.3,0.1,-0.2,-0.072,,-7,-0.2,-7.2,-0.2
2000,Larry Johnson,PF,30,NYK,16,589,11.4,0.539,0.217,0.224,3.1,12.9,8.1,8.4,0.8,0.3,12.1,16.5,,0.4,0.6,1,0.084,,0.2,0.8,1,0.4
2000,Eddie Jones,SG,28,CHH,4,171,18.4,0.523,0.448,0.276,2.8,10.6,6.8,21.1,3.3,1.3,7.1,19.7,,0.4,0.1,0.5,0.154,,2.5,1.3,3.8,0.2
2000,Jumaine Jones,SF,20,PHI,4,8,1.4,0.333,0.667,0,0,0,0,0,0,0,0,17.2,,0,0,0,-0.116,,-5.1,-3.9,-9,0
2000,Jerome Kersey,SF,37,SAS,2,25,0.2,0.143,0,0,8.3,8,8.1,7.3,4.2,2.8,12.5,14.5,,-0.1,0.1,0,-0.072,,-6.1,4.8,-1.4,0
2000,Jason Kidd*,PG,26,PHO,6,229,14.3,0.5,0.4,0.164,3.7,14.9,9.2,38.5,2.5,0.3,28.1,16,,0,0.4,0.4,0.075,,-0.2,2.1,1.9,0.2
2000,Travis Knight,C,25,LAL,14,48,3.7,0.51,0,0.4,7,4.9,6,0,1.1,4.9,25.4,22.3,,-0.1,0,-0.1,-0.094,,-8.4,-0.8,-9.2,-0.1
